word_en,word_pl,example,counter
albeit,chociaż / aczkolwiek,"The plan was successful, albeit expensive.",0
elaborate,szczegółowo opisać / dopracowany,Could you elaborate on your previous point?,0
scrutinize,dokładnie analizować / badać,The auditors scrutinized every financial record.,0
unprecedented,bezprecedensowy,The pandemic caused unprecedented disruption to global economies.,0
nuance,niuans / subtelność,She failed to grasp the nuances of the political situation.,0
to cut corners,robić coś na skróty / oszczędzać kosztem jakości,"The contractor clearly cut corners during construction — the walls started cracking within a year.",0
to get the ball rolling,zacząć coś / ruszyć z miejsca,"Let's get the ball rolling on the new project before the client changes their mind again.",0
to read between the lines,czytać między wierszami,"She didn't say she was unhappy, but if you read between the lines, it's obvious she wants to quit.",0
to bite off more than you can chew,porwać się z motyką na słońce,He bit off more than he could chew by taking on three freelance contracts simultaneously.,0
to turn a blind eye,przymknąć oko na coś,Management kept turning a blind eye to the safety violations until the accident happened.,0
to beat around the bush,owijać w bawełnę,"Just tell me what you think — stop beating around the bush.",0
to hit the nail on the head,trafić w sedno,"You hit the nail on the head — that's exactly what's been causing the delays.",0
to spill the beans,wygadać sekret / zdradzić tajemnicę,"Don't spill the beans about the surprise party — she has no idea.",0
to pull someone's leg,nabierać kogoś / żartować,"Are you serious, or are you pulling my leg?",0
to sit on the fence,nie zajmować stanowiska / siedzieć okrakiem,"You can't sit on the fence forever — the team needs a decision by Friday.",0
to be on the same page,rozumieć się / być zgodnymi,"Before we start, let's make sure we're all on the same page about the goals.",0
to bite the bullet,zacisnąć zęby / przełknąć pigułkę,"I hated the idea of going back to school, but I bit the bullet and enrolled anyway.",0
to break the ice,przełamać lody,He told a joke at the start of the meeting to break the ice.,0
to burn bridges,palić za sobą mosty,"Don't burn bridges with your old employer — you never know when you'll need a reference.",0
to call it a day,kończyć pracę / skończyć na dziś,"We've been at this for eight hours — let's call it a day.",0
to cost an arm and a leg,kosztować fortunę / majątek,"The repairs cost an arm and a leg, but the car runs perfectly now.",0
to drag one's feet,ociągać się / zwlekać,The government has been dragging its feet on climate policy for years.,0
to drop the ball,zawieść / popełnić błąd,"I really dropped the ball on that presentation — I forgot half the slides.",0
to face the music,ponieść konsekwencje / stawić czoła problemowi,He finally had to face the music and admit he'd been wrong all along.,0
to get cold feet,stchórzyć / wycofać się w ostatniej chwili,She got cold feet right before the wedding and called everything off.,0
to get out of hand,wymknąć się spod kontroli,The argument got out of hand and security had to intervene.,0
to give the benefit of the doubt,dać kredyt zaufania,"I know it looks suspicious, but let's give him the benefit of the doubt.",0
to go back to the drawing board,zacząć od nowa,"The prototype failed completely, so we had to go back to the drawing board.",0
to hit the sack,iść spać,I'm exhausted — I'm going to hit the sack early tonight.,0
to jump on the bandwagon,przyłączyć się do trendu / podążać za modą,Every company seems to be jumping on the AI bandwagon right now.,0
to keep your chin up,trzymać głowę wysoko / nie załamywać się,"I know it's tough, but keep your chin up — things will get better.",0
to kill two birds with one stone,upiec dwie pieczenie przy jednym ogniu,Taking the scenic route kills two birds with one stone — we save on tolls and enjoy the view.,0
to leave no stone unturned,nie zostawić kamienia na kamieniu,The detective left no stone unturned in his search for the truth.,0
to let the cat out of the bag,zdradzić sekret / wygadać niespodziankę,She accidentally let the cat out of the bag about the surprise party.,0
to miss the boat,przegapić okazję,"If we don't sign the contract today, we might miss the boat entirely.",0
once in a blue moon,raz na jakiś czas / bardzo rzadko,"He visits his parents once in a blue moon, maybe twice a year.",0
a piece of cake,bułka z masłem / pestka,"I was worried about the exam, but it was a piece of cake.",0
to ring a bell,brzmieć znajomo / coś kojarzyć,"That name rings a bell — didn't she used to work here?",0
to sit tight,czekać cierpliwie / nie ruszać się,"Just sit tight — the doctor will be with you in a few minutes.",0
to smell a rat,wyczuć podstęp / podejrzewać coś,Something about his story doesn't add up — I smell a rat.,0
speak of the devil,o wilku mowa,"Speak of the devil — we were just talking about you!",0
to steal someone's thunder,odbierać komuś show / zasługi,He announced his promotion right before my presentation and completely stole my thunder.,0
the last straw,ostatnia kropla / czara goryczy,Forgetting our anniversary was the last straw — she finally ended the relationship.,0
to throw in the towel,poddać się / rzucić ręcznik,After three failed attempts he threw in the towel and hired a professional.,0
under the weather,czuć się niedomagająco / być chorym,"I'm feeling a bit under the weather today, so I might work from home.",0
to have a chip on your shoulder,nosić w sobie urazę / mieć żal,He's had a chip on his shoulder ever since he was passed over for promotion.,0
